TestSeason,Date,HomeTeam,AwayTeam,Bet,ModelProb,Odds,EV,ActualResult,Profit,Won
2021,2021-10-18,Alaves,Betis,away,0.5132733169268191,2.15,0.10353763139266103,away,1.15,True
2021,2021-10-18,Espanol,Cadiz,away,0.2532774931059055,5.75,0.45634558535895686,home,-1.0,False
2021,2021-10-22,Osasuna,Granada,draw,0.34051607875341944,3.5,0.19180627563696806,draw,2.5,True
2021,2021-10-23,Elche,Espanol,home,0.543595107644461,2.7,0.4677067906400447,draw,-1.0,False
2021,2021-10-23,Valencia,Mallorca,home,0.6148695042532194,1.66,0.020683377060344066,draw,-1.0,False
2021,2021-10-23,Ath Bilbao,Villarreal,away,0.3249141734035396,3.2,0.03972535489132678,home,-1.0,False
2021,2021-10-23,Cadiz,Alaves,home,0.5132409845277964,2.5,0.283102461319491,away,-1.0,False
2021,2021-10-24,Ath Madrid,Sociedad,away,0.19178644620459734,6.0,0.15071867722758414,draw,-1.0,False
2021,2021-10-24,Barcelona,Real Madrid,away,0.5725025023838372,2.45,0.40263113084040114,away,1.4500000000000002,True
2021,2021-10-24,Betis,Vallecano,draw,0.2976861089004246,3.75,0.1163229083765922,home,-1.0,False
2021,2021-10-24,Sevilla,Levante,home,0.8021511908689991,1.44,0.1550977148513586,home,0.43999999999999995,True
2021,2021-10-25,Getafe,Celta,away,0.3414947135042319,3.1,0.05863361186311877,away,2.1,True
2021,2021-10-26,Alaves,Elche,draw,0.3869247698256009,3.0,0.16077430947680282,home,-1.0,False
2021,2021-10-26,Espanol,Ath Bilbao,draw,0.38873702806110705,3.0,0.1662110841833211,draw,2.0,True
2021,2021-10-26,Villarreal,Cadiz,draw,0.20325451541561648,5.5,0.11789983478589061,draw,4.5,True
2021,2021-10-27,Vallecano,Barcelona,away,0.5979586615495806,1.8,0.07632559078924506,home,-1.0,False
2021,2021-10-27,Real Madrid,Osasuna,home,0.8487209356853312,1.3,0.10333721639093074,draw,-1.0,False
2021,2021-10-27,Betis,Valencia,away,0.24851692012973323,4.5,0.11832614058379942,home,-1.0,False
2021,2021-10-27,Mallorca,Sevilla,away,0.7182163296264763,1.75,0.25687857684633353,draw,-1.0,False
2021,2021-10-28,Celta,Sociedad,draw,0.33560368506128113,3.4,0.14105252920835576,away,-1.0,False
2021,2021-10-28,Granada,Getafe,home,0.612135279812286,2.6,0.5915517275119437,draw,-1.0,False
2021,2021-10-28,Levante,Ath Madrid,away,0.7762617142811873,1.65,0.28083182856395905,draw,-1.0,False
2021,2021-10-30,Valencia,Villarreal,away,0.41410269104777175,2.45,0.014551593067040791,home,-1.0,False
2021,2021-10-30,Barcelona,Alaves,home,0.8448187952723624,1.28,0.08136805794862378,draw,-1.0,False
2021,2021-10-30,Elche,Real Madrid,away,0.7785298737799373,1.44,0.12108301824310974,away,0.43999999999999995,True
2021,2021-10-30,Sevilla,Osasuna,home,0.741942443013263,1.53,0.13517193781029224,home,0.53,True
2021,2021-10-31,Sociedad,Ath Bilbao,home,0.5530824341821045,2.1,0.1614731117824193,draw,-1.0,False
2021,2021-10-31,Getafe,Espanol,draw,0.3771052667641064,3.0,0.13131580029231915,home,-1.0,False
2021,2021-10-31,Cadiz,Mallorca,home,0.40823874689037826,2.5,0.02059686722594556,draw,-1.0,False
2021,2021-10-31,Ath Madrid,Betis,away,0.18312750569660644,6.0,0.09876503417963867,home,-1.0,False
2021,2021-11-01,Levante,Granada,away,0.2905272079589713,4.0,0.1621088318358852,away,3.0,True
2021,2021-11-01,Vallecano,Celta,home,0.5394359458020358,2.37,0.2784631915508249,draw,-1.0,False
2021,2021-11-05,Ath Bilbao,Cadiz,draw,0.2630093847817497,4.75,0.24929457771331087,away,-1.0,False
2021,2021-11-06,Alaves,Levante,draw,0.3726815619405836,3.0,0.11804468582175076,home,-1.0,False
2021,2021-11-06,Celta,Barcelona,away,0.5847163157841153,2.1,0.22790426314664214,draw,-1.0,False
2021,2021-11-06,Espanol,Granada,draw,0.41253785522270675,3.4,0.40262870775720283,home,-1.0,False
2021,2021-11-06,Real Madrid,Vallecano,home,0.76021118580137,1.33,0.011080877115822174,home,0.33000000000000007,True
2021,2021-11-07,Villarreal,Getafe,home,0.7242936206524724,1.5,0.08644043097870857,home,0.5,True
2021,2021-11-07,Valencia,Ath Madrid,away,0.7368371747435646,1.95,0.436832490749951,draw,-1.0,False
2021,2021-11-07,Mallorca,Elche,draw,0.3568897655146228,3.0,0.07066929654386844,draw,2.0,True
2021,2021-11-07,Betis,Sevilla,away,0.5820071081230006,2.45,0.4259174149013516,away,1.4500000000000002,True
2021,2021-11-07,Osasuna,Sociedad,away,0.47138391356658965,2.35,0.10775219688148563,away,1.35,True
2021,2021-11-19,Levante,Ath Bilbao,home,0.2999861321569805,3.5,0.049951462549431724,draw,-1.0,False
2021,2021-11-20,Ath Madrid,Osasuna,home,0.8223853393049279,1.44,0.1842348885990961,home,0.43999999999999995,True
