Date,HomeTeam,AwayTeam,Bet,Odds,EV,ActualResult,Profit,Won
2025-04-13,Betis,Villarreal,home,2.35,0.051408722785016625,away,-1.0,False
2025-04-18,Espanol,Getafe,home,2.88,0.2352516159525444,home,1.88,True
2025-04-19,Barcelona,Celta,home,1.3,0.03946369890260981,home,0.30000000000000004,True
2025-04-19,Las Palmas,Ath Madrid,draw,4.2,0.05268454846790038,home,-1.0,False
2025-04-20,Real Madrid,Ath Bilbao,away,5.25,0.09492216638013296,home,-1.0,False
2025-04-20,Sevilla,Alaves,home,2.0,0.09940817447362993,draw,-1.0,False
2025-04-20,Valladolid,Osasuna,draw,3.4,0.22668666577989827,away,-1.0,False
2025-04-20,Villarreal,Sociedad,away,5.0,0.06217786211044407,draw,-1.0,False
2025-04-23,Alaves,Sociedad,away,3.4,0.24101442282233743,home,-1.0,False
2025-04-23,Ath Bilbao,Las Palmas,draw,5.25,0.06725878517007833,home,-1.0,False
2025-04-23,Celta,Villarreal,away,2.8,0.17975161465370326,home,-1.0,False
2025-04-23,Getafe,Real Madrid,away,1.75,0.1534885793884746,away,0.75,True
2025-04-24,Ath Madrid,Vallecano,home,1.53,0.08504682645094364,home,0.53,True
2025-04-24,Betis,Valladolid,draw,7.0,0.27224492907345454,home,-1.0,False
2025-04-24,Osasuna,Sevilla,home,2.5,0.13525613080295584,home,1.5,True
2025-04-27,Villarreal,Espanol,draw,5.0,0.3907670496732978,home,-1.0,False
2025-05-03,Alaves,Ath Madrid,away,2.15,0.3289996457536666,draw,-1.0,False
2025-05-03,Las Palmas,Valencia,draw,3.3,0.04738841326633958,away,-1.0,False
2025-05-03,Valladolid,Barcelona,draw,8.0,0.654301252479168,away,-1.0,False
2025-05-03,Villarreal,Osasuna,away,6.0,0.17052967274238373,home,-1.0,False
2025-05-04,Espanol,Betis,away,2.38,0.039691198407181716,away,1.38,True
2025-05-04,Sevilla,Leganes,draw,3.5,0.058274961370236245,draw,2.5,True
2025-05-04,Sociedad,Ath Bilbao,away,3.0,0.2868001417957915,draw,-1.0,False
2025-05-10,Ath Madrid,Sociedad,home,1.67,0.1366653827890958,home,0.6699999999999999,True
2025-05-10,Celta,Sevilla,draw,3.6,0.08711374583878873,home,-1.0,False
2025-05-10,Girona,Villarreal,draw,3.8,0.0849722930315957,away,-1.0,False
2025-05-10,Mallorca,Valladolid,draw,5.25,0.22962973242973383,home,-1.0,False
2025-05-11,Ath Bilbao,Alaves,home,1.8,0.3067801232205789,home,0.8,True
2025-05-11,Barcelona,Real Madrid,away,3.2,0.35081242989649386,home,-1.0,False
2025-05-11,Leganes,Espanol,home,2.4,0.05455727822219547,home,1.4,True
2025-05-13,Sociedad,Celta,draw,3.3,0.08388046332204757,away,-1.0,False
2025-05-13,Valladolid,Girona,draw,3.9,0.5026091272774431,away,-1.0,False
2025-05-13,Sevilla,Las Palmas,draw,3.7,0.19008891683306905,home,-1.0,False
2025-05-14,Alaves,Valencia,away,3.7,0.2227896149735582,home,-1.0,False
2025-05-14,Real Madrid,Mallorca,home,1.38,0.09422571059484275,home,0.3799999999999999,True
2025-05-14,Villarreal,Leganes,draw,5.75,0.3369134772579683,home,-1.0,False
2025-05-15,Espanol,Barcelona,draw,5.75,0.1883824536143004,away,-1.0,False
2025-05-15,Getafe,Ath Bilbao,away,2.63,0.2969918188747833,away,1.63,True
2025-05-15,Osasuna,Ath Madrid,away,2.1,0.17158298099221359,home,-1.0,False
2025-05-15,Vallecano,Betis,away,2.4,0.11198773130913553,draw,-1.0,False
2025-05-18,Sevilla,Real Madrid,away,1.75,0.19432027742755875,away,0.75,True
2025-05-18,Valladolid,Alaves,home,6.0,0.6768186763797357,away,-1.0,False
2025-05-18,Valencia,Ath Bilbao,away,3.8,0.5920280590942391,away,2.8,True
2025-05-18,Barcelona,Villarreal,home,1.83,0.16507932754932875,away,-1.0,False
2025-05-18,Las Palmas,Leganes,home,2.9,0.2144241566095233,away,-1.0,False
2025-05-18,Celta,Vallecano,draw,3.9,0.0813797839040844,away,-1.0,False
2025-05-18,Mallorca,Getafe,home,2.0,0.1166762370719785,away,-1.0,False
2025-05-23,Betis,Valencia,home,1.91,0.06757032201552193,draw,-1.0,False
2025-05-24,Vallecano,Mallorca,away,6.25,0.5458955109743846,draw,-1.0,False
2025-05-24,Real Madrid,Sociedad,home,1.42,0.11134634473522298,home,0.41999999999999993,True
2025-05-24,Leganes,Valladolid,draw,5.5,0.497382119333835,home,-1.0,False
2025-05-24,Espanol,Las Palmas,draw,4.75,0.4908526134631108,home,-1.0,False
2025-05-24,Alaves,Osasuna,home,3.2,0.13106737785612244,draw,-1.0,False
2025-05-24,Getafe,Celta,home,4.1,0.3150449933724422,away,-1.0,False
2025-05-25,Ath Bilbao,Barcelona,away,2.1,0.2388432655607473,away,1.1,True
2025-05-25,Girona,Ath Madrid,away,1.91,0.06353411226920525,away,0.9099999999999999,True
2025-05-25,Villarreal,Sevilla,draw,5.0,0.039179378240352,home,-1.0,False
2025-08-15,Villarreal,Oviedo,away,8.0,0.14941179961563522,home,-1.0,False
2025-08-16,Valencia,Sociedad,home,2.6,0.3004932342782216,draw,-1.0,False
2025-08-16,Alaves,Levante,home,2.15,0.06431886677416787,home,1.15,True
2025-08-16,Mallorca,Barcelona,draw,5.0,0.04125738695280701,away,-1.0,False
2025-08-17,Espanol,Ath Madrid,draw,3.9,0.13433828047488494,home,-1.0,False
2025-08-18,Elche,Betis,away,2.2,0.203608248932603,draw,-1.0,False
2025-08-19,Real Madrid,Osasuna,away,13.0,0.24522001020721396,home,-1.0,False
2025-08-22,Betis,Alaves,home,1.91,0.19139589198953644,home,0.9099999999999999,True
2025-08-23,Levante,Barcelona,draw,6.0,0.2272967082608861,away,-1.0,False
2025-08-23,Mallorca,Celta,home,3.0,0.18942037237853815,draw,-1.0,False
2025-08-24,Villarreal,Girona,home,1.53,0.051778415077231355,home,0.53,True
2025-08-24,Sociedad,Espanol,away,5.0,0.09927515797109798,draw,-1.0,False
2025-08-24,Osasuna,Valencia,home,2.4,0.17205688756534854,home,1.4,True
2025-08-24,Oviedo,Real Madrid,home,9.5,1.0420028352904835,away,-1.0,False
2025-08-27,Celta,Betis,away,3.25,0.3393312650341793,draw,-1.0,False
2025-08-29,Valencia,Getafe,home,2.3,0.20068714335301885,home,1.2999999999999998,True
2025-08-29,Elche,Levante,draw,3.25,0.136701560190984,home,-1.0,False
2025-08-30,Oviedo,Sociedad,home,3.5,1.1651922877712955,home,2.5,True
2025-08-30,Alaves,Ath Madrid,away,1.8,0.05592789569126855,draw,-1.0,False
2025-08-30,Girona,Sevilla,draw,3.3,0.12030084756631632,away,-1.0,False
2025-08-31,Betis,Ath Bilbao,home,3.0,0.11424257159986762,away,-1.0,False
2025-08-31,Celta,Villarreal,away,2.5,0.19461177920391148,draw,-1.0,False
2025-08-31,Vallecano,Barcelona,draw,5.5,0.17788563650611455,draw,4.5,True
2025-09-12,Sevilla,Elche,draw,3.4,0.13451971012680364,draw,2.4,True
2025-09-13,Ath Bilbao,Alaves,home,1.6,0.08660095247962807,away,-1.0,False
2025-09-13,Ath Madrid,Villarreal,away,4.33,0.27859232192458383,home,-1.0,False
2025-09-13,Getafe,Oviedo,away,4.5,0.44879760510695865,home,-1.0,False
2025-09-13,Sociedad,Real Madrid,away,1.6,0.08038096405147233,away,0.6000000000000001,True
2025-09-14,Levante,Betis,draw,3.25,0.04133976022196073,draw,2.25,True
2025-09-14,Osasuna,Vallecano,home,2.55,0.20562993890019965,home,1.5499999999999998,True
2025-09-19,Betis,Sociedad,home,1.91,0.08321936185958512,home,0.9099999999999999,True
2025-09-20,Valencia,Ath Bilbao,away,2.55,0.24450298486376543,home,-1.0,False
2025-09-20,Girona,Levante,draw,3.6,0.33864132151772575,away,-1.0,False
2025-09-21,Elche,Oviedo,away,4.5,0.3921973176456439,home,-1.0,False
2025-09-21,Vallecano,Celta,home,2.3,0.046900855496150085,draw,-1.0,False
2025-09-23,Ath Bilbao,Girona,home,1.45,0.03406953672095647,draw,-1.0,False
2025-09-23,Espanol,Valencia,away,3.4,0.05377554745481805,draw,-1.0,False
2025-09-23,Levante,Real Madrid,draw,5.75,0.24204919741370445,away,-1.0,False
2025-09-23,Sevilla,Villarreal,away,2.3,0.15636637361271344,away,1.2999999999999998,True
2025-09-25,Osasuna,Elche,home,1.95,0.17721824436205824,draw,-1.0,False
2025-09-25,Oviedo,Barcelona,draw,5.75,0.20680966154986957,away,-1.0,False
